29,dras00029,Ball valve,Henry,piece(s),1100,,-,,Refrigeration Spare Parts,local,,,,,,,,,,,,,,"<p>10mm (3/8"") GBC 10s Solder,</p>",,,,,,,,,,,,,
30,dras00030,Ball valve,Castel,piece(s),1100,,-,,Refrigeration Spare Parts,local,,,,,,,,,,,,,,"<p>10mm (3/8"") GBC 10s Solder,</p>",,,,,,,,,,,,,
31,dras00031,Ball valve,Danfoss,piece(s),1200,,10,,Refrigeration Spare Parts,local,,,,,,,,,,,,,,"<p>12mm (Ω"") GBC 12s Solder,</p>",,,,,,,,,,,,,
32,dras00032,Ball valve,Castel,piece(s),1200,,-,,Refrigeration Spare Parts,,,,,,,,,,,,,,,"<p>12mm (Ω"") GBC 12s Solder,</p>",,,,,,,,,,,,,
33,dras00033,Ball valve,Danfoss,piece(s),1100,,8,,Refrigeration Spare Parts,,,,,,,,,,,,,,,"<p>15mm (5/8"") GBC 16s Solder,</p>",,,,,,,,,,,,,
34,dras00034,Ball valve,Danfoss,piece(s),1600,,8,,Refrigeration Spare Parts,,,,,,,,,,,,,,,"<p>18mm (æ"") GBC 18s Solder,</p>",,,,,,,,,,,,,
35,dras00035,Ball valve,Henry,piece(s),1600,,-,,Refrigeration Spare Parts,,,,,,,,,,,,,,,"<p>18mm (æ"") GBC 18s Solder,</p>",,,,,,,,,,,,,
36,dras00036,Ball valve,Danfoss,piece(s),1500,,10,,Refrigeration Spare Parts,,,,,,,,,,,,,,,"<p>22mm (7/8"") GBC 22s Solder,</p>",,,,,,,,,,,,,
37,dras00037,Ball valve,Danfoss,piece(s),2100,,5,,Refrigeration Spare Parts,,,,,,,,,,,,,,,"<p>28mm (1?"") GBC 28s Solder,</p>",,,,,,,,,,,,,
38,dras00038,Ball valve,Danfoss,piece(s),3600,,5,,Refrigeration Spare Parts,,,,,,,,,,,,,,,"<p>35mm (1-3/8"") GBC 35s Solder,</p>",,,,,,,,,,,,,
39,dras00039,Ball valve,Henry,piece(s),3700,,-,,Refrigeration Spare Parts,,,,,,,,,,,,,,,"<p>35mm (1-3/8"") GBC 35s Solder,</p>",,,,,,,,,,,,,
40,dras00040,Ball valve,Danfoss,piece(s),4800,,3,,Refrigeration Spare Parts,,,,,,,,,,,,,,,"<p>42mm (1-5/8"") GBC 42s Solder,</p>",,,,,,,,,,,,,
41,dras00041,Ball valve,Danfoss,piece(s),8000,,3,,Refrigeration Spare Parts,,,,,,,,,,,,,,,"<p>54mm (2-?"") GBC 54s Solder,</p>",,,,,,,,,,,,,
42,dras00042,Ball valve,Danfoss,piece(s),11000,,3,,Refrigeration Spare Parts,,,,,,,,,,,,,,,"<p>64mm (2-5/8"") GBC 67s Solder,</p>",,,,,,,,,,,,,
43,dras00043,Bearing,NTN,piece(s),20,,,,Refrigeration Spare Parts,,,,,,,,,,,,,,,"<p>6001Z,</p>",,,,,,,,,,,,,
